(deux jeux en attente),,
(pas de jeu propre),,
(sans jeu propre),,
(un jeu en attente),,
1e trompette,8,
1ere trompette,8,
2e trompette,8,
2eme trompette,8,
basse,16,
basse,8,
basson,16,
basson,8,
basson acoustique,16,
basson hautbois,8,
basson-hautbois,,
basson-hautbois,8,
bomarde,16,
bombarde,32,
bombarde,16,
bombarde acoust.,32,
bombarde acoust.,16,
bombarde acoustique,32,
bombarde acoustique,16,
boudon a cheminee,8,
bourdon,16,
bourdon,8,
bourdon,,
bourdon a cheminee,8,
bourdon conique,8,
bourdon-flute,8,
carillon,II-IV,
carillon,I-III,
chalumeau,4,
chamade,8,
chamade,4 -8,
choralbasse,4,
chromhorne,8,
cimbale,III,
cimbel,III,
claion,4,
clairon,4,
clairon 4',,
clairon chamade,4,
clairon-hautbois,4 -8,
clarinette,8,
clariton,,
contre-basse,16,
contrebasse,16,
cor de chamois,8,
cor de nuit,8,
cornet,II-V,
cornet,IV,
cornet,V,
cornet,II,
cornet,,
cornet,I-III,
cornet,III-V,
cornet,II-III,
cornet,III,
cornet,II ,
cornettino,III,
corno inglese,16,
cromorne,8,
cromorne,4,
cymbale,V-VI,
cymbale,III,
cymbale,IV,
cymbale,II,
cymbale,,
dessus de cornet,V,
dessus de flute,8,
diapason,8,
dolce,8,
doublete,2,
doublette,2,
doucaine,16,
dulcian,8,
dulciana,4,
dulciana,8,
dulciane,4,
dulciane,8,
dulzian,8,
fagott,16,
feldtrompete,4,
flageolet,2,
flageolet,8,
flageolet,1,
flagolet,2,
fluit,4,
fluste,8,
fluste a neuf trous,2,
fluste bouchez,8,
fluste d'allemand,4,
flute,2,
flute,4,
flute,8,
flute,32,
flute,16,
flute a biberon,4,
flute a cheminee,8,
flute a cheminee,4,
flute a cheminees,4,
flute a cheminees,2,
flute a fuseau,8,
flute a fuseau,4,
flute allemande,8,
flute bouchee,4,
flute conique,4,
flute conique,2,
flute conique,8,
flute creuse,8,
flute d'allemand,4,
flute de bonn,8,
flute douce,8,
flute douce,4,
flute echo,4,
flute harmonique,8,
flute large,4,
flute octaviante,4,
flute ouvert,8,
flute ouverte,8,
flute ouverte,4,
flute solo,8,
flute traversiere,8,
flutebasse,8,
fourniture,II,
fourniture,VII,
fourniture,III-V,
fourniture,III,
fourniture,IV-V,
fourniture,,
fourniture,IV,
fourniture,V,
fournitures,III,
fugara,8,
fugara,4,
gamba,8,
gambe,8,
gedackt,8,
gedekt,8,
gemshorm,4,
gemshorn,4,
grand cornet,V,
grande fourniture,II-IV,
grande tierce,3 1/5,
grande tierce,1 3/5,
gros nasard,5 1/3,
grosse flute,8,
grosse flute bouchee,16,
grosse fourniture,II-IV,
grosse fourniture,III,
grosse fourniture,II,
grosse quinte,5 1/3,
grosse quinte,10 2/3,
grosse tierce,3 1/5,
haut-bois,8,
hautbois,8,
hautbois,4,
hautbois et basson,8,
hintersatz,IV,
holzdulzian,16,
keraulophone,8,
koraal-bas,4,
larigot,1 1 /3,
larigot,1 1/3,
lieblich gedacht,8,
melophone,8,
mixtur,V,
mixtur,VI,
mixtur,IV,
mixture,IV-V,
mixture,,
mixture,II-III,
mixture,IV,
montre,16,
montre,8,
montre,,
montre,4,
musette,8,
nachthorn,2,
nasard,2 2/3,
nasart,2 2/3,
nasat,2 2/3,
nazard,2 2/3,
nazat,2 2/3,
octaaf,4,
octava,2,
octava,4,
octavbass,8,
octavbasse,8,
octave,8,
octave,4,
octave,2,
octave-quinte,,
octavebasse,8,
octavin,2,
octavin harmonique,2,
offenbai2,8,
oktave,4,
oktave,2,
open diapason,8,
petit cornet,IV,
petit nazard,1 1/3,
petite chalemie,4,
petite flute,4,
piccolo,1,
plain jeu,IV,
plain-jeu,V,
plein jeu,IV,
plein jeu,II/V ,
plein jeu,III,
plein jeu,II-V,
plein-jeu,III-IV,
plein-jeu,V,
plein-jeu,IV,
plein-jeu,V-VI,
plein-jeu,II-V,
plein-jeu,,
plein-jeu,III-V,
plein-jeu,V-VII,
plein-jeu,II-IV,
plein-jeu,III,
plein-jeu,III-VI,
plein-jeu,I-IV,
plein-jeu 16',I,
plein-jeu 8',IV,
plein-jeu iv,IV,
posaune,16,
posaunenbass,16,
prestant,,
prestant,8,
prestant,4,
principal,16,
principal,2,
principal,4,
principal,1,
principal,8,
principal italien,4,
principalbasse,16,
prinicpal,8,
prinzipal,8,
prinzipal,4,
quarte,2,
quarte de nasard,2,
quinta,2 2/3,
quinta,1 1/3,
quintade,16,
quintaden,16,
quintaden,8,
quintadene,8,
quintaton,16,
quintaton,4,
quintaton,8,
quinte,3,
quinte,5 1/3,
quinte,,
quinte,1 1/3,
quinte,10 2/3,
quinte,2 2/3,
quinte flute,2 2/3,
quintelette,1 1/3,
quintflote,1 1/3,
rankett,16,
ranquette,16,
regale,8,
rohrflote,8,
rohrflote,4,
sacqueboute,16,
sacqueboute,8,
salcional,8,
salicional,8,
salicional,4,
salitional,8,
schalmei,8,
scharf,III,
scharff,III,
septieme,1 1/7,
sesquialter,II,
sesquialtera,II,
sesquilatera,II,
sifflet,1,
sifflote,1,
solicional,8,
soubase,16,
soubasse,32,
soubasse,16,
soubasse acoustique,32,
sous-basse,8,
spitzflote,4,
spitzflote,2,
spitzflote,8,
subbai2,16,
subbas,16,
subbass,16,
tercian,II,
terz,1 3/5,
tierce,1 1/3,
tierce,1 3/5,
tierce,8,
tierce,2,
tierce,,
tiercelette,1 3/5,
tiercyne,1 3/5,
tiertia,1 3/5,
tirasse fixe,,
tremblant,,
trommete,8,
trompete,8,
trompete royale,8,
trompette,16,
trompette,8,
trompette chamade,8,
trompette de bataille,8,
trompette en chamade,8,
trompette harmonique,8,
trompette royale,4/8,
tuba harmonique,8,
unda maris,8,
unda maris,4,
viola,4,
viola da gamba,8,
viola de gambe,8,
viola di gamba,8,
viole,4,
viole,8,
viole d'amour,8,
viole de gambe,8,
violonbasse,8,
violoncelle,8,
violoncelle,16,
voce umana,8,
voix celeste,8,
voix humaine,8,
vox humana,8,
wald flute,4,
waldflote,2,
